05:34:16.191 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.192 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.194 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.195 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.197 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.198 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.200 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.200 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.201 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.203 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.204 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.206 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
05:34:16.206 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:386.2080000000001,gaze_y:67.73999999999998
